country,year,hours,daily_spread_avg,total_arbitrage_profit,cycles,avg_sell_price,avg_buy_price,Cost €/MW
Poland,2020,14,9.26,24043.28,133.19,59.36,-37.31,0
Poland,2021,14,20.87,64434.34,132.57,122.49,-70.48,0
Poland,2022,14,54.35,197972.93,162.31,237.89,-120.99,0
Poland,2023,14,28.72,93454.33,144.83,143.9,-78.51,0
Poland,2024,14,41.41,160454.39,166.09,144.59,-60.65,0
Poland,2019,15,8.67,23041.41,117.81,65.47,-42.12,0
Poland,2020,15,8.36,24442.68,125.56,59.41,-37.29,0
Poland,2021,15,18.76,65601.31,125.11,122.32,-70.17,0
Poland,2022,15,49.27,200668.58,152.84,237.83,-120.64,0
Poland,2023,15,26.03,95106.63,136.13,144.07,-78.29,0
Poland,2024,15,37.76,161583.63,155.25,144.84,-60.56,0
Poland,2019,16,7.71,23500.42,112.61,65.44,-42.11,0
Poland,2020,16,7.46,24815.69,118.88,59.44,-37.27,0
Poland,2021,16,16.68,66668.6,118.41,122.15,-69.87,0
Poland,2022,16,44.25,203091.26,144.39,237.74,-120.28,0
Poland,2023,16,23.33,96634.77,128.13,144.38,-78.09,0
Poland,2024,16,34.17,162609.55,145.74,145.03,-60.44,0
United Kingdom,2019,1,37.13,12333.89,641.2,65.55,-37.08,1550000
United Kingdom,2020,1,44.24,15939.56,700.9,53.02,-24.24,1550000
United Kingdom,2021,1,169.01,58125.88,635.3,211.69,-96.24,1550000
United Kingdom,2022,1,181.1,57628.1,612.3,307.67,-170.98,1550000
United Kingdom,2023,1,79.77,25596.45,656.8,129.65,-72.6,1550000
United Kingdom,2024,1,69.43,23298.92,686.5,99.84,-52.76,1550000
United Kingdom,2019,2,34.06,21030.55,586.5,64.35,-37.17,1732000
United Kingdom,2020,2,39.3,26686.27,599.8,54.46,-25.79,1732000
United Kingdom,2021,2,144.02,94631.8,583.6,203.42,-97.96,1732000
United Kingdom,2022,2,169.12,101719.97,553.9,310.95,-175.46,1732000
United Kingdom,2023,2,75.58,45722.32,591.7,135.81,-77.81,1732000
United Kingdom,2024,2,65.74,41878.78,594.6,108.41,-58.6,1732000
United Kingdom,2019,3,31.32,26769.84,537.13,63.35,-37.42,1891000
United Kingdom,2020,3,35.52,33994.66,531.77,54.2,-26.34,1891000
United Kingdom,2021,3,126.88,118006.18,519.13,199.38,-98.98,1891000
United Kingdom,2022,3,157.75,133238.69,497.7,311.35,-177.87,1891000
United Kingdom,2023,3,71.19,60057.2,532.33,136.36,-79.08,1891000
United Kingdom,2024,3,62.01,55548.24,529.5,110.37,-60.37,1891000
United Kingdom,2019,4,28.87,30075.7,482.45,62.56,-37.62,2039000
United Kingdom,2020,4,32.37,38775.07,473.05,53.49,-26.42,2039000
United Kingdom,2021,4,112.98,131995.45,453.9,196.56,-99.2,2039000
United Kingdom,2022,4,147.21,154617.71,437.1,311.87,-178.95,2039000
United Kingdom,2023,4,66.72,69670.41,460.4,136.15,-78.74,2039000
United Kingdom,2024,4,57.94,64640.73,452.25,110.73,-60.06,2039000
United Kingdom,2019,5,26.75,31827.76,420.88,62.12,-37.64,2180000
United Kingdom,2020,5,29.87,41989.32,419.28,53.12,-26.5,2180000
United Kingdom,2021,5,101.28,139407.8,392.94,194.62,-99.06,2180000
United Kingdom,2022,5,137.53,169417.88,382.88,313.03,-179.86,2180000
United Kingdom,2023,5,62.59,76374.31,395.6,136.44,-78.36,2180000
United Kingdom,2024,5,54.31,71082.02,388.16,110.69,-59.33,2180000
United Kingdom,2019,6,24.84,32836.01,366.7,61.9,-37.63,2315000
United Kingdom,2020,6,27.66,44165.82,371.47,53.01,-26.59,2315000
United Kingdom,2021,6,91.8,144161.96,342.27,194.15,-99.3,2315000
United Kingdom,2022,6,128.57,180207.85,336.67,313.95,-180.06,2315000
United Kingdom,2023,6,58.67,81259.31,342.87,136.87,-78.01,2315000
United Kingdom,2024,6,50.75,75769.68,338.27,110.6,-58.7,2315000
United Kingdom,2019,7,23.09,33456.86,320.83,61.9,-37.66,2447000
United Kingdom,2020,7,25.65,45665.47,330.24,53.07,-26.7,2447000
United Kingdom,2021,7,83.91,147734.16,300.99,194.11,-99.36,2447000
United Kingdom,2022,7,119.89,188263.27,298.46,314.87,-180.11,2447000
United Kingdom,2023,7,54.87,84762.89,300.37,137.28,-77.7,2447000
United Kingdom,2024,7,47.28,79191.31,296.84,110.85,-58.29,2447000
United Kingdom,2019,8,21.48,33899.35,284.02,61.92,-37.67,2575000
United Kingdom,2020,8,23.79,46735.77,295.12,53.14,-26.72,2575000
United Kingdom,2021,8,77.08,150338.15,267.42,194.33,-99.43,2575000
United Kingdom,2022,8,111.63,194528.71,266.95,315.45,-179.82,2575000
United Kingdom,2023,8,51.21,87475.37,266.0,137.64,-77.37,2575000
United Kingdom,2024,8,43.9,81803.4,263.15,111.18,-57.97,2575000
United Kingdom,2019,9,19.94,34247.24,254.24,61.98,-37.69,2701000
United Kingdom,2020,9,22.03,47560.75,265.3,53.24,-26.71,2701000
United Kingdom,2021,9,70.98,152445.73,239.48,195.03,-99.65,2701000
United Kingdom,2022,9,103.7,199835.97,241.39,315.79,-179.42,2701000
United Kingdom,2023,9,47.63,89584.44,239.27,137.83,-77.14,2701000
United Kingdom,2024,9,40.66,84023.08,236.21,111.59,-57.78,2701000
United Kingdom,2019,10,18.47,34534.57,230.54,62.01,-37.71,2825000
United Kingdom,2020,10,20.36,48225.07,240.6,53.29,-26.66,2825000
United Kingdom,2021,10,65.4,154278.7,216.74,195.61,-99.77,2825000
United Kingdom,2022,10,96.19,204591.21,220.16,316.04,-178.9,2825000
United Kingdom,2023,10,44.13,91398.44,216.94,138.12,-76.97,2825000
United Kingdom,2024,10,37.62,86033.96,213.7,111.85,-57.41,2825000
United Kingdom,2019,11,17.07,34779.68,210.67,62.03,-37.71,0
United Kingdom,2020,11,18.8,48764.59,220.66,53.35,-26.67,0
United Kingdom,2021,11,60.24,155931.66,198.45,195.88,-99.81,0
United Kingdom,2022,11,88.97,208920.16,202.93,316.35,-178.64,0
United Kingdom,2023,11,40.76,92985.46,198.25,138.41,-76.81,0
United Kingdom,2024,11,34.75,87846.1,195.69,112.17,-57.24,0
United Kingdom,2019,12,15.73,34998.24,193.83,62.06,-37.71,0
United Kingdom,2020,12,17.33,49240.39,203.83,53.39,-26.67,0
United Kingdom,2021,12,55.45,157418.1,183.03,196.38,-100.04,0
