Country,Year,Quarter,System duration (hrs),daily_spread_avg,Total arbitrage profit,Cycles (full cycle equivalents),Avg sell price (/MWh),Avg purchase price (/MWh),Cost €/MW
NEM,2025,Q1,10,122.04,107388.09,93.21,148.23,31.54,0
NEM,2025,Q2,10,241.5,217459.06,96.93,282.89,55.92,0
NEM,2025,Q3,10,116.54,105276.19,98.43,145.9,37.19,0
NEM,2025,Q4,10,141.14,128805.29,100.69,140.6,12.1,0
NEM,2026,Q1,10,80.24,70162.67,94.9,112.4,36.73,0
NEM,2026,Q2,10,57.81,33775.05,60.55,98.9,41.3,0
NEM,2024,Q1,11,99.67,100264.73,89.48,142.27,38.6,0
NEM,2024,Q2,11,218.21,224345.63,91.85,291.68,66.51,0
NEM,2024,Q3,11,168.51,169696.27,90.86,211.17,39.52,0
NEM,2024,Q4,11,217.23,216929.14,90.82,258.78,39.79,0
NEM,2025,Q1,11,112.19,108097.65,85.14,148.3,31.43,0
NEM,2025,Q2,11,220.92,218348.89,88.59,282.33,55.66,0
NEM,2025,Q3,11,107.16,106244.28,89.76,146.34,37.0,0
NEM,2025,Q4,11,130.75,130422.69,92.69,140.57,12.09,0
NEM,2026,Q1,11,73.77,70757.07,86.8,112.48,36.66,0
NEM,2026,Q2,11,53.21,34311.38,55.61,99.13,41.26,0
