Region,Year,Quarter,System duration (hrs),daily_spread_avg,Total arbitrage profit ($/MW/yr),Cycles (full cycle equivalents),Avg sell price ($/MWh),Avg purchase price ($/MWh),Cost €/MW
NSW1,2024,Q4,8,285.6,846298.24,120.23,262.32,40.23,0
NSW1,2025,Q1,8,144.81,417320.64,113.63,148.29,31.85,0
NSW1,2025,Q2,8,293.15,858851.36,118.2,286.22,56.2,0
NSW1,2025,Q3,8,136.57,405106.32,121.04,145.1,38.48,0
NSW1,2025,Q4,8,162.78,486860.84,122.3,138.67,13.55,0
NSW1,2026,Q1,8,94.95,272105.88,115.07,112.93,37.08,0
NSW1,2026,Q2,8,67.54,128270.84,74.46,98.17,42.12,0
NSW1,2024,Q1,9,119.78,398640.04,108.56,142.65,38.62,0
NSW1,2024,Q2,9,261.17,891811.8,112.08,291.56,67.0,0
NSW1,2024,Q3,9,200.88,671921.92,111.04,210.34,40.15,0
NSW1,2024,Q4,9,259.4,855742.28,108.38,261.53,40.09,0
NSW1,2025,Q1,9,132.85,423275.24,102.31,148.33,31.74,0
NSW1,2025,Q2,9,265.29,864519.12,106.62,284.36,56.16,0
NSW1,2025,Q3,9,126.48,413056.88,108.54,145.6,37.9,0
NSW1,2025,Q4,9,151.68,502933.96,109.79,140.46,12.55,0
NSW1,2026,Q1,9,87.28,276521.76,103.91,112.63,36.77,0
NSW1,2026,Q2,9,62.76,131461.32,66.74,98.63,41.72,0
NSW1,2024,Q1,10,108.97,399269.08,97.88,142.65,38.63,0
NSW1,2024,Q2,10,238.2,893994.36,100.94,291.65,66.72,0
NSW1,2024,Q3,10,183.78,674664.48,99.85,210.85,39.83,0
NSW1,2024,Q4,10,236.95,861842.16,98.82,260.15,40.01,0
NSW1,2025,Q1,10,122.04,427378.76,92.73,148.44,31.56,0
NSW1,2025,Q2,10,241.5,868459.12,96.71,283.39,55.94,0
NSW1,2025,Q3,10,116.54,417440.32,98.18,145.81,37.54,0
NSW1,2025,Q4,10,141.14,514023.2,100.39,140.84,12.2,0
NSW1,2026,Q1,10,80.24,279499.08,94.49,112.63,36.75,0
NSW1,2026,Q2,10,57.81,133741.88,60.5,98.92,41.47,0
NSW1,2024,Q1,11,99.67,399839.0,89.05,142.69,38.61,0
NSW1,2024,Q2,11,218.21,896006.52,91.81,291.78,66.47,0
NSW1,2024,Q3,11,168.51,676510.2,90.52,211.57,39.63,0
NSW1,2024,Q4,11,217.23,865842.4,90.48,259.43,39.85,0
NSW1,2025,Q1,11,112.19,430014.8,84.67,148.53,31.45,0
NSW1,2025,Q2,11,220.92,871820.24,88.38,282.84,55.7,0
NSW1,2025,Q3,11,107.16,420977.36,89.52,146.25,37.4,0
NSW1,2025,Q4,11,130.75,520378.76,92.38,140.85,12.18,0
NSW1,2026,Q1,11,73.77,281773.16,86.39,112.74,36.68,0
NSW1,2026,Q2,11,53.21,135721.2,55.55,99.16,41.45,0
VIC1,2024,Q1,1,411.44,449491.8,936.56,111.72,-7.85,0
VIC1,2024,Q2,1,256.43,405766.0,922.07,183.64,69.95,0
VIC1,2024,Q3,1,467.95,402142.36,929.11,145.52,35.45,0
VIC1,2024,Q4,1,275.82,171637.52,938.31,46.62,0.85,0
VIC1,2025,Q1,1,257.29,153764.72,822.93,65.25,17.61,0
VIC1,2025,Q2,1,611.56,320730.64,755.81,178.62,68.91,0
VIC1,2025,Q3,1,223.71,153140.88,856.11,85.81,39.04,0
VIC1,2025,Q4,1,172.43,107394.8,1036.0,34.09,7.76,0
VIC1,2026,Q1,1,149.22,87404.4,848.07,44.58,17.88,0
VIC1,2026,Q2,1,107.47,43191.72,565.69,48.54,27.98,0
VIC1,2024,Q1,2,376.58,484558.04,491.7,114.61,-8.14,0
VIC1,2024,Q2,2,228.74,445098.12,487.54,186.1,68.39,0
VIC1,2024,Q3,2,401.47,503369.68,485.32,163.32,31.99,0
